Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
1978-2002,Rtail,Sep,0.0735,-0.055,-0.1285,-2.2107,0.0271
1978-2002,Oil,Oct,0.0611,0.0131,-0.0479,-0.638,0.5235
1978-2002,Banks,Oct,0.0715,0.0038,-0.0677,-0.9063,0.3648
1978-2002,Txtls,Oct,0.062,-0.0768,-0.1388,-1.8748,0.0608
1978-2002,Toys,Oct,0.0567,0.0001,-0.0566,-0.6057,0.5447
1978-2002,Rtail,Oct,0.0694,0.0,-0.0694,-0.8746,0.3818
1978-2002,Oil,Nov,0.0579,0.0449,-0.013,-0.2194,0.8264
1978-2002,Banks,Nov,0.0632,0.0925,0.0293,0.5626,0.5737
1978-2002,Txtls,Nov,0.0432,0.1247,0.0815,1.6495,0.099
1978-2002,Toys,Nov,0.0465,0.1116,0.0652,0.9986,0.318
1978-2002,Rtail,Nov,0.0549,0.1592,0.1043,1.9275,0.0539
1978-2002,Oil,Dec,0.0573,0.0518,-0.0055,-0.106,0.9156
1978-2002,Banks,Dec,0.0615,0.1097,0.0482,0.9389,0.3478
1978-2002,Txtls,Dec,0.0386,0.173,0.1344,2.7618,0.0057
1978-2002,Toys,Dec,0.061,-0.0498,-0.1107,-1.6398,0.101
1978-2002,Rtail,Dec,0.0661,0.0327,-0.0334,-0.6494,0.5161
2003-present,Oil,Jan,0.0536,0.0664,0.0128,0.1675,0.867
2003-present,Banks,Jan,0.0513,-0.0041,-0.0554,-0.6282,0.5299
2003-present,Txtls,Jan,0.0458,-0.008,-0.0538,-0.6597,0.5094
2003-present,Toys,Jan,0.0331,0.0095,-0.0236,-0.2865,0.7745
2003-present,Rtail,Jan,0.0571,0.047,-0.0102,-0.1898,0.8495
2003-present,Oil,Feb,0.051,0.0976,0.0466,0.6038,0.546
2003-present,Banks,Feb,0.0516,-0.0109,-0.0625,-0.7666,0.4433
2003-present,Txtls,Feb,0.0395,0.0634,0.0239,0.2604,0.7945
2003-present,Toys,Feb,0.0271,0.0796,0.0525,0.6157,0.5381
2003-present,Rtail,Feb,0.0599,0.0136,-0.0462,-0.7852,0.4324
2003-present,Oil,Mar,0.0533,0.068,0.0146,0.1437,0.8858
2003-present,Banks,Mar,0.0519,-0.0065,-0.0585,-0.5063,0.6126
2003-present,Txtls,Mar,0.0492,-0.0387,-0.0879,-0.7389,0.46
2003-present,Toys,Mar,0.0383,-0.0418,-0.0801,-0.8483,0.3962
2003-present,Rtail,Mar,0.0527,0.0928,0.0401,0.5988,0.5493
2003-present,Oil,Apr,0.0471,0.1366,0.0895,1.0641,0.2873
2003-present,Banks,Apr,0.0381,0.1421,0.104,1.1312,0.258
2003-present,Txtls,Apr,0.0252,0.2189,0.1937,1.7492,0.0803
2003-present,Toys,Apr,0.0261,0.0863,0.0601,0.6701,0.5028
2003-present,Rtail,Apr,0.0499,0.1262,0.0763,1.2624,0.2068
2003-present,Oil,May,0.06,-0.0024,-0.0624,-0.8247,0.4096
2003-present,Banks,May,0.0486,0.0275,-0.0211,-0.2717,0.7859
2003-present,Txtls,May,0.0419,0.0359,-0.006,-0.0661,0.9473
2003-present,Toys,May,0.0328,0.0138,-0.019,-0.2453,0.8063
2003-present,Rtail,May,0.0603,0.0131,-0.0472,-0.9032,0.3664
2003-present,Oil,Jun,0.0569,0.0307,-0.0261,-0.3248,0.7453
2003-present,Banks,Jun,0.054,-0.0305,-0.0845,-1.2136,0.2249
2003-present,Txtls,Jun,0.0452,0.0012,-0.0439,-0.4944,0.621
2003-present,Toys,Jun,0.0288,0.0565,0.0277,0.3828,0.7019
2003-present,Rtail,Jun,0.0601,0.0156,-0.0445,-0.8744,0.3819
2003-present,Oil,Jul,0.0547,0.0539,-0.0009,-0.0123,0.9902
2003-present,Banks,Jul,0.0375,0.1457,0.1082,1.4321,0.1521
2003-present,Txtls,Jul,0.0358,0.1014,0.0656,0.6372,0.524
2003-present,Toys,Jul,0.0236,0.1119,0.0882,1.1523,0.2492
2003-present,Rtail,Jul,0.0486,0.1386,0.09,1.7679,0.0771
2003-present,Oil,Aug,0.0619,-0.0229,-0.0849,-1.1571,0.2472
2003-present,Banks,Aug,0.0501,0.011,-0.0391,-0.526,0.5989
2003-present,Txtls,Aug,0.0388,0.0694,0.0306,0.3619,0.7174
2003-present,Toys,Aug,0.0338,0.0029,-0.0309,-0.4251,0.6708
2003-present,Rtail,Aug,0.0574,0.0444,-0.013,-0.2255,0.8216
2003-present,Oil,Sep,0.0577,0.0188,-0.0389,-0.4707,0.6378
2003-present,Banks,Sep,0.0514,-0.0071,-0.0585,-0.625,0.5319
2003-present,Txtls,Sep,0.0533,-0.0972,-0.1505,-1.8359,0.0664
2003-present,Toys,Sep,0.0398,-0.0686,-0.1084,-1.5009,0.1334
2003-present,Rtail,Sep,0.0621,-0.0106,-0.0726,-1.2607,0.2074
2003-present,Oil,Oct,0.0548,0.0533,-0.0015,-0.0142,0.9887
2003-present,Banks,Oct,0.0433,0.0841,0.0408,0.478,0.6326
2003-present,Txtls,Oct,0.0498,-0.0491,-0.099,-0.9725,0.3308
2003-present,Toys,Oct,0.0299,0.0447,0.0148,0.1754,0.8608
2003-present,Rtail,Oct,0.0565,0.0537,-0.0028,-0.0425,0.9661
