Date,Oil,Banks,Txtls,Toys,Rtail,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1973-05-01,-3.56,-2.29,-5.68,-6.37,-1.58,-2.97,-6.12,0.38,1.97,-1.7,0.51,7.18
1973-06-01,1.68,3.83,-5.25,-8.7,-5.46,-1.57,-2.48,1.14,-0.2,0.09,0.51,4.31
1973-07-01,0.34,8.93,9.44,17.15,9.92,5.04,7.19,-5.26,-0.09,-3.23,0.64,-11.66
1973-08-01,-3.76,-1.0,-4.76,-0.57,-4.75,-3.82,-1.78,1.03,-1.32,1.25,0.7,3.59
1973-09-01,9.08,6.81,6.4,11.6,6.71,4.74,3.58,2.22,-2.22,1.75,0.68,-6.98
1973-10-01,5.13,1.0,1.57,-6.84,-3.88,-0.83,-0.27,1.66,-1.99,2.73,0.65,6.78
1973-11-01,-6.18,-13.76,-20.78,-22.9,-17.25,-12.79,-7.28,4.09,-2.77,1.64,0.56,8.78
1973-12-01,8.64,1.83,-7.14,-6.25,-0.8,0.59,-4.72,4.01,-2.89,2.42,0.64,10.16
1974-01-01,-7.58,0.16,10.91,8.87,7.82,-0.16,10.39,5.95,-2.92,4.49,0.63,-8.91
1974-02-01,-1.63,1.64,0.38,-2.49,1.36,-0.46,0.12,2.47,-1.85,2.67,0.58,0.37
1974-03-01,-3.32,-4.41,2.89,5.04,-4.53,-2.82,2.62,-0.14,2.9,0.45,0.56,-1.0
1974-04-01,-6.39,-5.12,-0.44,-7.26,-2.0,-5.28,-0.67,0.92,2.71,2.13,0.75,2.06
1974-05-01,-7.5,-10.89,-6.89,2.26,2.16,-4.7,-3.06,-2.08,5.01,-0.33,0.75,-0.29
1974-06-01,-0.19,-10.4,-2.1,-8.3,-2.08,-2.84,-0.05,0.83,0.5,2.98,0.6,2.32
1974-07-01,-0.44,-7.02,-2.64,-13.1,-13.61,-8.06,1.84,5.16,-3.2,4.5,0.7,3.0
1974-08-01,-8.71,-11.53,-7.32,1.83,-14.01,-9.39,0.28,2.61,-0.29,2.59,0.6,3.03
1974-09-01,-8.01,-9.07,-7.14,-18.6,-11.28,-11.78,1.47,5.43,-4.33,5.82,0.81,4.24
1974-10-01,20.51,24.98,5.83,9.07,7.97,16.1,-6.78,-9.91,-0.29,-2.91,0.51,-0.52
1974-11-01,-4.4,-3.11,-13.45,-4.05,-5.96,-4.53,-1.41,-0.25,-3.42,2.9,0.54,2.2
1974-12-01,0.86,-4.48,-2.36,-16.48,-2.72,-3.45,-4.27,0.12,-0.76,3.38,0.7,2.98
1975-01-01,6.55,22.16,19.75,27.7,27.14,13.67,12.88,8.26,-0.54,-1.05,0.58,-13.79
1975-02-01,2.36,-2.04,3.11,5.91,3.82,5.56,-0.69,-4.47,1.17,-2.11,0.43,-0.58
1975-03-01,-2.65,1.86,8.71,13.73,11.02,2.66,3.97,2.42,1.25,-1.34,0.41,-2.07
