,Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
96,1926-1962,Banks,Aug,0.0498,0.1571,0.1072,2.2614,0.0237
97,1926-1962,Txtls,Aug,0.0274,0.08,0.0526,1.3458,0.1784
98,1926-1962,Toys,Aug,0.049,0.1833,0.1343,1.5452,0.1223
99,1926-1962,Rtail,Aug,0.0308,0.1187,0.0879,2.4526,0.0142
100,1926-1962,Oil,Sep,0.0537,-0.102,-0.1557,-2.8803,0.004
101,1926-1962,Banks,Sep,0.0701,-0.0647,-0.1348,-2.2236,0.0262
102,1926-1962,Txtls,Sep,0.0383,-0.0404,-0.0788,-1.3683,0.1712
103,1926-1962,Toys,Sep,0.066,-0.0004,-0.0665,-0.6979,0.4852
104,1926-1962,Rtail,Sep,0.0467,-0.0556,-0.1023,-2.2257,0.026
105,1926-1962,Oil,Oct,0.039,0.0619,0.0229,0.4291,0.6678
106,1926-1962,Banks,Oct,0.0669,-0.0212,-0.088,-1.2804,0.2004
107,1926-1962,Txtls,Oct,0.0392,-0.0436,-0.0828,-1.6626,0.0964
108,1926-1962,Toys,Oct,0.0664,0.0005,-0.0659,-0.637,0.5241
109,1926-1962,Rtail,Oct,0.0433,-0.0126,-0.0559,-1.1054,0.269
110,1926-1962,Oil,Nov,0.0387,0.0686,0.0299,0.6173,0.537
111,1926-1962,Banks,Nov,0.0562,0.0945,0.0383,0.6139,0.5393
112,1926-1962,Txtls,Nov,0.0315,0.0369,0.0054,0.1053,0.9161
113,1926-1962,Toys,Nov,0.0509,0.1763,0.1254,1.2137,0.2249
114,1926-1962,Rtail,Nov,0.0335,0.0965,0.063,1.2723,0.2033
115,1926-1962,Oil,Dec,0.0378,0.0747,0.0369,0.9513,0.3415
116,1926-1962,Banks,Dec,0.0634,0.0142,-0.0491,-0.9211,0.357
117,1926-1962,Txtls,Dec,0.0323,0.0282,-0.0041,-0.0983,0.9217
118,1926-1962,Toys,Dec,0.0719,-0.0578,-0.1297,-1.0348,0.3007
119,1926-1962,Rtail,Dec,0.043,-0.01,-0.053,-1.42,0.1556
120,1963-1977,Oil,Jan,0.0358,0.0272,-0.0087,-0.1625,0.8709
121,1963-1977,Banks,Jan,0.0104,0.103,0.0926,1.8407,0.0657
122,1963-1977,Txtls,Jan,0.0088,0.2539,0.2451,4.1711,0.0
123,1963-1977,Toys,Jan,-0.0031,0.2501,0.2532,2.9192,0.0035
124,1963-1977,Rtail,Jan,0.0167,0.1376,0.1209,2.159,0.0308
125,1963-1977,Oil,Feb,0.0421,-0.0526,-0.0946,-1.8429,0.0653
126,1963-1977,Banks,Feb,0.0198,-0.0047,-0.0245,-0.486,0.627
127,1963-1977,Txtls,Feb,0.0289,0.0288,-0.0,-0.0006,0.9995
128,1963-1977,Toys,Feb,0.0131,0.074,0.0609,0.6721,0.5015
129,1963-1977,Rtail,Feb,0.0234,0.0672,0.0438,0.8997,0.3683
130,1963-1977,Oil,Mar,0.0362,0.0231,-0.0131,-0.2896,0.7722
131,1963-1977,Banks,Mar,0.0136,0.0661,0.0525,1.1822,0.2371
132,1963-1977,Txtls,Mar,0.0293,0.0244,-0.0048,-0.1004,0.92
133,1963-1977,Toys,Mar,0.008,0.122,0.114,1.2393,0.2152
134,1963-1977,Rtail,Mar,0.0236,0.0589,0.0352,0.7638,0.445
